match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2025_151_158_2025-08-16 19:30:00,2025-08-16 19:30:00,False,151,Levante,l,158,Alaves,0.74203,1,241,12,2,0.5727,0.74203,1.72315,2,134,21,2,1.72315,7,15,3.84,3.18,2.18
La_liga 2025_148_151_2025-08-23 19:30:00,2025-08-23 19:30:00,True,151,Levante,l,148,Barcelona,2.68812,2,297,16,4,1.5374,1.94484,2.48128,3,79,18,21,2.48128,8,26,9.49,6.51,1.27
La_liga 2025_151_207_2025-08-29 17:30:00,2025-08-29 17:30:00,False,151,Levante,l,207,Elche,0.969663,0,327,18,4,0.9999,0.969663,1.44309,2,140,19,7,1.44309,11,16,3.66,3.26,2.23
La_liga 2025_151_153_2025-09-14 14:15:00,2025-09-14 14:15:00,True,151,Levante,d,153,Real Betis,1.02425,2,311,21,6,0.5964,1.02425,2.19546,2,137,20,16,2.19546,5,28,3.4,3.48,2.21
La_liga 2025_151_223_2025-09-20 12:00:00,2025-09-20 12:00:00,False,151,Levante,w,223,Girona,4.50183,4,195,22,10,2.9764,4.50183,0.423855,0,350,10,4,0.423855,14,7,4.09,3.76,1.91
La_liga 2025_150_151_2025-09-23 19:30:00,2025-09-23 19:30:00,True,151,Levante,l,150,Real Madrid,1.70121,1,398,28,5,0.22460000000000002,1.70121,4.06315,4,291,19,15,3.31987,11,24,8.61,5.91,1.33
La_liga 2025_142_151_2025-09-27 12:00:00,2025-09-27 12:00:00,False,151,Levante,d,142,Getafe,1.27833,1,149,26,2,1.7206,1.27833,0.830967,1,121,23,3,0.830967,11,11,4.05,3.22,2.1
La_liga 2025_151_289_2025-10-04 12:00:00,2025-10-04 12:00:00,False,151,Levante,w,289,Real Oviedo,1.62121,2,328,22,11,1.8391,1.62121,1.08551,0,209,12,6,1.08551,14,13,2.92,3.34,2.56
La_liga 2025_145_151_2025-10-19 16:30:00,2025-10-19 16:30:00,True,151,Levante,l,145,Rayo Vallecano,0.940509,0,239,20,8,0.4099999999999999,0.940509,2.53118,3,216,24,5,2.53118,17,10,2.84,3.54,2.51
La_liga 2025_151_239_2025-10-26 13:00:00,2025-10-26 13:00:00,False,151,Levante,d,239,Mallorca,2.3579,1,307,27,8,1.7187,2.3579,1.86979,1,162,23,8,1.86979,13,20,3.81,3.41,2.09
La_liga 2025_151_152_2025-11-02 13:00:00,2025-11-02 13:00:00,True,151,Levante,l,152,Celta Vigo,1.23651,1,317,16,3,0.8475,0.384266,1.92474,2,204,30,20,1.92474,9,20,2.93,3.41,2.51
La_liga 2025_143_151_2025-11-08 17:30:00,2025-11-08 17:30:00,False,151,Levante,l,143,Atletico Madrid,1.29112,1,319,10,3,0.36229999999999996,1.29112,3.03599,3,104,19,18,3.03599,6,25,12.07,7.03,1.22
La_liga 2025_146_151_2025-11-21 20:00:00,2025-11-21 20:00:00,False,151,Levante,l,146,Valencia,0.67426,0,307,28,5,0.5828,0.67426,1.65038,1,214,23,7,1.65038,8,14,3.73,3.66,2.03
La_liga 2025_147_151_2025-11-29 17:30:00,2025-11-29 17:30:00,True,151,Levante,l,147,Athletic Club,1.20253,0,150,20,1,0.347,1.20253,2.80864,2,251,35,9,2.80864,11,14,3.52,3.45,2.17
La_liga 2025_151_157_2025-12-08 20:00:00,2025-12-08 20:00:00,False,151,Levante,l,157,Osasuna,0.544977,0,174,19,5,0.4633,0.544977,1.74988,2,306,31,5,1.74988,11,14,4.77,3.83,1.77
La_liga 2025_140_151_2025-12-20 15:15:00,2025-12-20 15:15:00,True,151,Levante,d,140,Real Sociedad,1.22005,1,267,26,3,1.0684,0.476768,1.62986,1,172,21,6,1.62986,13,18,3.47,3.53,2.16
La_liga 2025_138_151_2026-01-04 13:00:00,2026-01-04 13:00:00,False,151,Levante,w,138,Sevilla,1.65102,3,281,19,0,1.3397,1.65102,1.66562,0,166,21,7,0.8268,6,15,4.73,3.83,1.78
La_liga 2025_141_151_2026-01-11 15:15:00,2026-01-11 15:15:00,True,151,Levante,d,141,Espanyol,1.18232,1,251,23,6,1.0452,1.18232,1.58922,1,285,31,6,1.58922,8,19,3.16,3.29,2.42
