match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2025_171_282_2025-08-16 17:00:00,2025-08-16 17:00:00,True,171,Monaco,w,282,Le Havre,1.88048,3,134,18,15,2.5628,1.88048,0.427494,1,403,25,0,0.427494,13,9,1.34,5.61,8.59
Ligue_1 2025_160_171_2025-08-24 18:45:00,2025-08-24 18:45:00,False,171,Monaco,l,160,Lille,1.52213,0,232,29,0,0.7574,1.52213,2.41091,1,243,23,12,1.65081,6,18,2.29,3.64,3.11
Ligue_1 2025_171_225_2025-08-31 15:15:00,2025-08-31 15:15:00,True,171,Monaco,w,225,Strasbourg,2.35547,3,311,33,7,1.7938,2.35547,1.7732,2,238,27,11,1.01311,12,12,1.56,4.56,5.64
Ligue_1 2025_171_275_2025-09-13 19:05:00,2025-09-13 19:05:00,False,171,Monaco,w,275,Auxerre,1.62646,2,117,30,13,1.9282,1.62646,0.904229,1,330,25,3,0.904229,13,9,1.6,4.55,5.17
Ligue_1 2025_171_180_2025-09-21 15:15:00,2025-09-21 15:15:00,True,171,Monaco,w,180,Metz,3.497,5,373,45,10,2.3730999999999995,3.497,1.91296,2,248,15,7,1.15286,16,8,1.27,6.55,9.38
Ligue_1 2025_171_179_2025-09-27 15:00:00,2025-09-27 15:00:00,False,171,Monaco,l,179,Lorient,0.894035,1,307,30,3,0.502,0.13394,2.09364,3,323,7,12,2.09364,5,19,1.62,4.36,5.28
Ligue_1 2025_170_171_2025-10-05 15:15:00,2025-10-05 15:15:00,True,171,Monaco,d,170,Nice,2.4556,2,125,25,12,2.4003,0.935413,1.13121,2,253,12,9,0.371112,20,9,1.96,3.77,3.86
Ligue_1 2025_167_171_2025-10-18 17:00:00,2025-10-18 17:00:00,False,171,Monaco,d,167,Angers,1.65166,1,251,21,6,1.4152999999999998,1.65166,1.58102,1,399,27,4,1.58102,11,16,1.63,4.23,5.31
Ligue_1 2025_171_174_2025-10-25 17:00:00,2025-10-25 17:00:00,True,171,Monaco,w,174,Toulouse,3.37276,1,167,32,7,2.8659000000000003,3.37276,0.584122,0,257,34,3,0.584122,14,10,1.87,4.03,3.96
Ligue_1 2025_168_171_2025-10-29 19:05:00,2025-10-29 19:05:00,False,171,Monaco,w,168,Nantes,4.10211,5,208,28,15,2.457,4.10211,2.1261,3,251,24,5,2.1261,19,18,1.71,4.0,4.97
Ligue_1 2025_171_290_2025-11-01 18:00:00,2025-11-01 18:00:00,True,171,Monaco,l,290,Paris FC,0.820947,0,225,25,8,1.004,0.820947,1.18048,1,276,15,2,1.18048,10,9,1.68,4.49,4.56
Ligue_1 2025_171_210_2025-11-08 20:05:00,2025-11-08 20:05:00,True,171,Monaco,l,210,Lens,2.4076,1,287,28,6,0.8328000000000001,0.752402,3.23933,4,267,30,16,3.23933,16,20,2.1,3.85,3.35
